id_qr,numero_original,categoria,descricao,status
EST-01,1,Mobiliário,"Cadeira Executiva Base Fixa em S Linha Office Gomada Preto",Disponivel
EST-02,2,Mobiliário,"Mesa Dobrável - Estrutura Metálica Com Tampo em Plástico 0,80 x 0,76 x 0,75m",Disponivel
EST-03,3,Mobiliário,"Smart TV LG Full HD AI de 43 polegadas 43LR67",Disponivel
EST-04,5,Equipamento,"Câmera Sony Alpha a7IV Mirrorless",Disponivel
EST-05,6,Equipamento,"Bateria Sony NP-FZ100 Rechargeable Lithium-Ion Battery (2280mAh)",Disponivel
EST-06,7,Equipamento,"Cartão De Memória Lexar 128gb 2000x UHS-II SDXC V90 300mb/s",Disponivel
EST-07,8,Equipamento,"SmallRig 4268B Bateria fictícia Sony NP-FZ100 com adaptador de energia",Disponivel
EST-08,9,Equipamento,"Lente Sigma 28-105mm f/2.8 DG DN Art (Sony E)",Disponivel
EST-09,10,Equipamento,"Filtro para lente Sony 28-105mm - Hoya 82mm UV",Disponivel
EST-10,11,Equipamento,"Plate Para Tripé Vertical L Suporte speedlite e modificadores de luz",Disponivel
EST-11,12,Equipamento,"Iluminador Amaran 300c RGBWW LED",Disponivel
EST-12,13,Equipamento,"C-stand Inox Cromado Greika 3,3m com saco contrapeso",Disponivel
EST-13,14,Equipamento,"Softbox Bowens Godox Com Tela Grid 60x60cm Para Flash Estúdio",Disponivel
EST-14,15,Equipamento,"Softbox Aputure Lantern 65 (Balão Chinês 65cm), com conjunto de saia",Disponivel
EST-15,16,Equipamento,"BarnDoors Aputure c/ Suporte de gelatina + Grid, compatível com LS 300d II",Disponivel
EST-16,17,Equipamento,"Aputure Fresnel 2x",Disponivel
EST-17,18,Equipamento,"Suporte Godox S2 para flash speedlite e modificadores de luz",Disponivel
EST-18,19,Equipamento,"Suporte adaptador para rebatedor fotográfico",Disponivel
EST-19,20,Equipamento,"Super Clamp Duplo p/ tripé Suporte Iluminação Studio",Disponivel
EST-20,21,Equipamento,"Braço Horizontal Para Tripé – rotação 360°, carga máx. 10kg",Disponivel
EST-21,22,Equipamento,"SmallRig Suporte super braçadeira com mini cabeça esférica e adaptador",Disponivel
EST-22,23,Equipamento,"Refletor Fotográfico 5 Em 1 - Oval 120x180cm",Disponivel
EST-23,24,Equipamento,"Mesa de áudio RØDE Caster Pro II",Disponivel
EST-24,25,Equipamento,"Microfone Rode PodMic Dinâmico",Disponivel
EST-25,26,Equipamento,"Cabo microfone XLR F x M 15,0m Hi-flex C50J Shure",Disponivel
EST-26,27,Equipamento,"FIFINE Microphone Boom Arm BM88",Disponivel
EST-27,28,Equipamento,"Microfone de Lapela Sem Fio Hollyland Lark M2 Combo",Disponivel
EST-28,29,Equipamento,"Fone de Ouvido Roland RH-5",Disponivel
EST-29,30,Equipamento,"Mesa de corte Blackmagic Atem Mini Pro",Disponivel
EST-30,31,Equipamento,"Cabo 8K Mini HDMI para HDMI, 10 metros, 48 Gbps, HDMI 2.1",Disponivel
EST-31,32,Equipamento,"Cabo 8K HDMI para HDMI, 10 metros, 48 Gbps, HDMI 2.1",Disponivel
EST-32,33,Equipamento,"Magnus REX VT-5000 Tripé de vídeo",Disponivel
EST-33,34,Equipamento,"Flash a Bateria Godox V860III TTL HSS Para Câmera Sony",Disponivel
EST-34,35,Equipamento,"Suporte Fundo Infinito Estúdio Parede Greika + 3 Rolos Papel",Disponivel
